1.4  0.1164,  -0.1904,   0.0299,   0.1616,   0.0101,   0.0053,  -0.1848,   0.5108,  # 27695
1.4  0.1164,  -0.1905,   0.0299,   0.1617,   0.0102,   0.0052,  -0.1849,   0.5110,  # 27695
1.4  0.1165,  -0.1905,   0.0298,   0.1617,   0.0102,   0.0052,  -0.1850,   0.5114,  # 27695
1.4  0.1166,  -0.1903,   0.0296,   0.1617,   0.0101,   0.0052,  -0.1852,   0.5120,  # 27695
1.4  0.1169,  -0.1904,   0.0295,   0.1617,   0.0102,   0.0054,  -0.1856,   0.5128,  # 27695
1.4  0.1171,  -0.1902,   0.0291,   0.1616,   0.0103,   0.0054,  -0.1860,   0.5140,  # 27695
1.4  0.1174,  -0.1903,   0.0287,   0.1617,   0.0104,   0.0055,  -0.1865,   0.5156,  # 27695
1.4  0.1179,  -0.1902,   0.0283,   0.1616,   0.0105,   0.0057,  -0.1872,   0.5174,  # 27695
1.4  0.1184,  -0.1900,   0.0277,   0.1616,   0.0106,   0.0059,  -0.1881,   0.5196,  # 27695
1.4  0.1192,  -0.1899,   0.0270,   0.1616,   0.0108,   0.0059,  -0.1891,   0.5222,  # 27695
1.4  0.1198,  -0.1898,   0.0263,   0.1616,   0.0109,   0.0062,  -0.1901,   0.5250,  # 27695
1.4  0.1207,  -0.1896,   0.0254,   0.1615,   0.0111,   0.0065,  -0.1914,   0.5284,  # 27695
1.4  0.1215,  -0.1895,   0.0244,   0.1615,   0.0114,   0.0067,  -0.1927,   0.5320,  # 27695
1.4  0.1227,  -0.1893,   0.0232,   0.1615,   0.0116,   0.0070,  -0.1943,   0.5362,  # 27695
1.4  0.1238,  -0.1891,   0.0221,   0.1615,   0.0119,   0.0073,  -0.1961,   0.5408,  # 27695
1.4  0.1251,  -0.1888,   0.0206,   0.1614,   0.0122,   0.0077,  -0.1980,   0.5460,  # 27695
1.4  0.1263,  -0.1885,   0.0192,   0.1613,   0.0126,   0.0081,  -0.2001,   0.5516,  # 27695
1.4  0.1279,  -0.1883,   0.0175,   0.1614,   0.0130,   0.0084,  -0.2024,   0.5576,  # 27695
1.4  0.1295,  -0.1880,   0.0159,   0.1613,   0.0133,   0.0088,  -0.2048,   0.5644,  # 27695
1.4  0.1313,  -0.1876,   0.0140,   0.1612,   0.0137,   0.0093,  -0.2075,   0.5716,  # 27695
1.4  0.1331,  -0.1872,   0.0119,   0.1612,   0.0142,   0.0099,  -0.2105,   0.5794,  # 27695
1.4  0.1353,  -0.1868,   0.0096,   0.1611,   0.0148,   0.0105,  -0.2137,   0.5876,  # 27695
1.4  0.1374,  -0.1865,   0.0074,   0.1610,   0.0153,   0.0111,  -0.2169,   0.5966,  # 27695
1.4  0.1397,  -0.1860,   0.0049,   0.1610,   0.0158,   0.0117,  -0.2205,   0.6062,  # 27695
1.4  0.1422,  -0.1854,   0.0021,   0.1608,   0.0166,   0.0125,  -0.2245,   0.6164,  # 27695
1.4  0.1448,  -0.1849,  -0.0008,   0.1608,   0.0171,   0.0133,  -0.2285,   0.6274,  # 27695
1.4  0.1475,  -0.1845,  -0.0038,   0.1608,   0.0179,   0.0140,  -0.2328,   0.6390,  # 27695
1.4  0.1504,  -0.1839,  -0.0070,   0.1607,   0.0187,   0.0148,  -0.2374,   0.6512,  # 27695
1.4  0.1535,  -0.1832,  -0.0103,   0.1605,   0.0194,   0.0158,  -0.2422,   0.6640,  # 27695
1.4  0.1568,  -0.1826,  -0.0140,   0.1605,   0.0203,   0.0166,  -0.2473,   0.6776,  # 27695
1.4  0.1601,  -0.1819,  -0.0178,   0.1604,   0.0212,   0.0176,  -0.2526,   0.6918,  # 27695
1.4  0.1635,  -0.1813,  -0.0217,   0.1603,   0.0222,   0.0186,  -0.2581,   0.7068,  # 27695
1.4  0.1673,  -0.1805,  -0.0258,   0.1601,   0.0231,   0.0197,  -0.2639,   0.7224,  # 27695
1.4  0.1711,  -0.1797,  -0.0301,   0.1600,   0.0241,   0.0208,  -0.2700,   0.7388,  # 27695
1.4  0.1750,  -0.1791,  -0.0344,   0.1599,   0.0252,   0.0221,  -0.2763,   0.7558,  # 27695
1.4  0.1790,  -0.1782,  -0.0391,   0.1599,   0.0263,   0.0232,  -0.2829,   0.7734,  # 27695
1.4  0.1831,  -0.1774,  -0.0439,   0.1598,   0.0275,   0.0245,  -0.2897,   0.7918,  # 27695
1.4  0.1874,  -0.1765,  -0.0488,   0.1597,   0.0286,   0.0258,  -0.2967,   0.8108,  # 27695
1.4  0.1918,  -0.1755,  -0.0539,   0.1595,   0.0299,   0.0272,  -0.3040,   0.8302,  # 27695
1.4  0.1962,  -0.1747,  -0.0590,   0.1593,   0.0312,   0.0286,  -0.3113,   0.8504,  # 27695
1.4  0.2008,  -0.1737,  -0.0643,   0.1593,   0.0325,   0.0300,  -0.3191,   0.8710,  # 27695
1.4  0.2054,  -0.1728,  -0.0698,   0.1591,   0.0339,   0.0315,  -0.3268,   0.8922,  # 27695
1.4  0.2100,  -0.1718,  -0.0753,   0.1591,   0.0352,   0.0329,  -0.3348,   0.9140,  # 27695
1.4  0.2146,  -0.1707,  -0.0811,   0.1589,   0.0368,   0.0345,  -0.3430,   0.9360,  # 27695
1.4  0.2193,  -0.1697,  -0.0868,   0.1588,   0.0382,   0.0360,  -0.3512,   0.9586,  # 27695
1.4  0.2241,  -0.1685,  -0.0925,   0.1587,   0.0396,   0.0375,  -0.3597,   0.9814,  # 27695
1.4  0.2288,  -0.1676,  -0.0983,   0.1586,   0.0413,   0.0391,  -0.3682,   1.0044,  # 27695
1.4  0.2335,  -0.1665,  -0.1040,   0.1585,   0.0427,   0.0408,  -0.3768,   1.0278,  # 27695
